employer,num_workers
DIGITAL MINDS TECHNOLOGIES INC.,68
"GROUPON, INC.",67
TRANSUNION LLC,67
CAPGEMINI FINANCIAL SERVICES USA INC. (LEGACY KANBAY),66
SYNTEL INC,65
"V-SOFT CONSULTING GROUP, INC",65
"VALUELABS, INC",64
ERNST &AMP; YOUNG U.S. LLP,64
"MOTOROLA SOLUTIONS, INC.",64
ROYAL CYBER INC.,63
ARICENT TECHNOLOGIES (HOLDINGS) LTD.,63
PRIMASOFT INC,63
AMERITCH GLOBAL INC,62
DYNAMICS RESOURCES INC,62
LUCENT IT SOLUTIONS LLC,61
SYNERGY GLOBAL SYSTEMS INC,61
POPULUS GROUP LLC,61
RUSH UNIVERSITY MEDICAL CENTER,60
"DEVISE SOFT, INC",60
"NAGARRO, INC.",59
COREMATIQ INC.,58
MAHINDRA ENGINEERING SERVICES LTD,58
DFS CORPORATE SERVICES LLC,56
JOHN H. STROGER JR. HOSPITAL OF COOK COUNTY,56
"TECH MAHINDRA (AMERICAS), INC.",56
"ALCATEL-LUCENT USA, INC. (DBA NOKIA)",54
"THOUGHTWORKS, INC.",52
"IMAGINEA TECHNOLOGIES, INC.",52
"BIJJAM INFORMATION TECHNOLOGIES, INC.",52
TCG DIGITAL SOLUTIONS LLC,52
FIERCE INFOTECH LLC,52
"DAZ SYSTEMS, INC.",50
"FERMI RESEARCH ALLIANCE, LLC",50
EGEN SOLUTIONS INC,50
"NETWORK OBJECTS, INC.",48
"PHOTON INFOTECH, INC.",47
"HSBC BANK USA, N.A.",46
"CSC CONSULTING, INC.",46
"RANDSTAD TECHNOLOGIES, LP",46
CHICAGO MERCANTILE EXCHANGE INC.,46
DELOITTE LLP,45
DELOITTE FINANCIAL ADVISORY SERVICES LLP,45
LERA TECHNOLOGIES LLC,45
GE HEALTHCARE IITS USA CORP.,45
VOLT MANAGEMENT CORP,45
MARVELLTECH LLC,44
JPMORGAN CHASE & CO.,44
BLUECROSS AND BLUESHIELD ASSOCIATION,44
"CONNVERTEX SOLUTIONS, INC.",43
LARSEN & TOUBRO INFOTECH LIMITED,43
VIVA USA INC.,42
"VTEKH, INC.",42
"COMPUNNEL SOFTWARE GROUP, INC.",41
COREMATIQ INC,41
"THE NIELSEN COMPANY (US), LLC",41
FOCUS CORE INC,41
ADVANSOFT WORLDWIDE INC,41
THE NORTHERN TRUST COMPANY,41
"DIONA (US), INC",40
"CGN & ASSOCIATES, INC.",40
"SLRI SOLUTIONS, LLC",39
CCC INFORMATION SERVICES INC.,38
ADVANSOFT INTERNATIONAL INC,38
"BITSOFT INTERNATIONAL, INC.",38
"MICROEXCEL, INC",38
UNICOM TECHNOLOGIES INC.,37
"ONLY IT CONSULTING, LLC",37
HCL GLOBAL SYSTEMS INC,37
SOUTHERN ILLINOIS MEDICAL SERVICES,37
"BDSN INTERNATIONAL, INC",36
"QUINNOX, INC.",36
SOFTWEB SOLUTIONS INC.,36
KRAFT HEINZ FOODS COMPANY,35
"BHRIGUS, INC.",35
"ATHARVA TECHNOLOGIES, INC.",35
"ARCUS TECHNOLOGIES DBA KAT TECH SYSTEMS, INC.",35
CITIUSTECH INC.,34
"BELCAN ENGINEERING GROUP, INC.",34
ILLINOIS INSTITUTE OF TECHNOLOGY,33
"THE BOSTON CONSULTING GROUP, INC.",32
CES USA INC.,32
SYNAPSIS INC,32
SERVOTECH INC.,32
"TRUQUA ENTERPRISES, LLC",32
"PROWISE SOLUTIONS, INC.",31
TEXSYS LLC,31
"L AND T TECHNOLOGY SERVICES, LTD.",31
"UNITED AIRLINES, INC.",31
ERESOURCES CONSULTANTS INC.,31
SAPERE LLP,31
HURON CONSULTING SERVICES LLC,31
LATENTVIEW ANALYTICS CORPORATION,31
TECHIE BRAINS INCORPORATED,31
VERINON TECHNOLOGY SOLUTIONS LTD.,31
"TECTONIC, LLC",30
ENTELLECTS CORPORATION,30
"SKIDMORE, OWINGS & MERRILL, LLP",29
"RJT COMPUQUEST, INC.",29
"NAVISTAR, INC.",29
SUN POWER CONSULTING LLC,29
"SUNERA TECHNOLOGIES, INC",29
"FRONTIER TECHNOLOGIES, LLC",29
QUADRANT 4 SYSTEM CORPORATION,29
KALVEN TECHNOLOGIES INC,29
"INFORMATION RESOURCES, INC.",29
AKUNA CAPITAL LLC,29
"AUTOMOTIVE ROBOTICS, INC.",29
PROFESSIONAL VISION TECHNOLOGIES INC,29
"ONWARD TECHNOLOGIES, INC",28
AMDOCS INC.,27
GANTEC PUBLISHING SOLUTIONS LLC,27
COGENT DATA SOLUTIONS LLC,27
SRK SYSTEMS INC,27
"CDK GLOBAL, LLC",27
MAZIK GLOBAL INC.,27
UNIVERSITY OF CHICAGO MEDICAL CENTER,27
HITACHI CONSULTING CORPORATION,27
"CLOUDQUEST TECHNOLOGIES, LLC",26
GRAINGER MANAGEMENT LLC,26
"IBS SOFTWARE SERVICES AMERICAS, INC.",26
VEDICSOFT SOLUTIONS LLC,26
SOUTHERN ILLINOIS UNIVERSITY SCHOOL OF MEDICINE,26
AMEEX TECHNOLOGIES CORP,25
"AXIS, INC.",25
"GREAT SOFTWARE LABORATORY, INC.",25
INTONE NETWORKS INC.,25
GANTEC CORPORATION,25
ENOVA FINANCIAL HOLDINGS LLC,25
"MANAGEMENT HEALTH SYSTEMS, INC.",25
SOFTCON USA INC.,25
ALREK BUSINESS SOLUTIONS INC.,25
MYGO CONSULTING INC.,25
CES USA INC,25
"PETERSON TECHNOLOGY PARTNERS, INC.",24
VECTRATEK SOLUTIONS,24
"AIM BIG, INC.",24
ASOFT CONSULTING LLC,24
"MASTECH RESOURCING, INC.",24
"ANTHEM, INC.",24
HEWITT ASSOCIATES LLC,24
"EXPEDIA, INC.",24
ABBOTT LABORATORIES,24
"MASTECH ALLIANCE, INC., A MASTECH HOLDINGS COMPANY",24
RCM TECHNOLOGIES INC,24
"AVANT, INC.",24
"PROSOFT TECHNOLOGY GROUP, INC.",24
"HR PUNDITS, INC",24
"AK INFORMATION TECHNOLOGIES, INC.",23
SYSTEM SOFT TECHNOLOGIES LLC,23
UST GLOBAL INC,23
YAHOO! INC.,23
"GENIUS BUSINESS SOLUTIONS, INC.",23
"RELIABLE SOFTWARE RESOURCES, INC.",23
AON SERVICE CORPORATION,23
"IVY TECH SOLUTIONS, INC",23
"CYBER KORP, INC.",23
SBP CONSULTING INC.,23
"APTUDE, INC",23
PRITHVI AMERICAS INC,23
LORSIV TECHNOLOGIES INC,23
"CSG SYSTEMS, INC.",23
INTEL AMERICA'S,22
"EDIFY TECHNOLOGIES, INC.",22
"JUMP OPERATIONS, LLC",22
APPLICATIONS SOFTWARE TECHNOLOGY CORPORATION,22
ENTELLI CONSULTING LLC,22
ARCHER DANIELS MIDLAND COMPANY,22
SARAYU CONSULTANTS INC,22
"ALREK BUSINESS SOLUTIONS, INC",22
FRACTAL ANALYTICS INC,22
SOGETI USA LLC,22
"SEARS, ROEBUCK & CO.",21
TECHNOSOFT CORPORATION,21
"KALVEN TECHNOLOGIES,INC",21
"MU SIGMA, INC.",21
GOGO LLC,21
SOFTPATH SYSTEM LLC,21
EMC CORPORATION,21
"TECHNOSOFT ENGINEERING, INC.",21
TRINUC LLC,21
"SLALOM, LLC",21
"MARKETRX, INC (A COGNIZANT COMPANY)",21
GLOBAL INFOTECH INC,21
BAXTER HEALTHCARE CORPORATION,21
JNJ SOLUTIONS INC.,21
"SMART WORKS, LLC",21
POLARIS CONSULTING & SERVICES LTD,21
IDEO LP,20
STAID LOGIC LLC,20
SLK AMERICA INC.,20
"ITECH US, INC.",20
PRAGMAEDGE INC,20
"PEGASUS KNOWLEDGE SOLUTIONS, INC.",20
"UTOPIA GLOBAL, INC.",20
KOGENTIX INC.,20
COGENT TECHNOLOGIES LLC,20
"WOLFRAM RESEARCH, INC.",20
"HIH, INC.",20
SIRITEK INC,20
"ARETE SYSTEMS, INC.",20
"HOSPIRA INC., A PFIZER COMPANY",20
"PCTEL, INC.",20
ROBERT BOSCH LLC,20
RECURSION GROUP INC,19
"SAP AMERICA, INC.",19
CTI INFOTECH INC.,19
"BRILLIO, LLC",19
"ORBITZ WORLDWIDE, LLC",19
MIRAGE SOFTWARE INC. DBA: BOURNTEC SOLUTIONS,19
"PROCAL TECHNOLOGIES INC.,",19
ZEBRA TECHNOLOGIES CORPORATION,19
"EPAM SYSTEMS, INC",19
"IT BUSINESS MANAGEMENT SOLUTIONS, INC.",19
"IDOL SOFT, INC.",19
"BHUVI IT SOLUTIONS, INC.",19
"SRIVEN SYSTEMS, INC",19
DYNAMIC ENTERPRISE SOLUTIONS INC,19
TECH MAHINDRA (AMERICAS) INC.,19
CAPGEMINI AMERICA INC.,19
OPTICSPLANET INC.,18
HORIZON ADVANCED SYSTEMS INC,18
"AYRUS, INC",18
"PYRAMID TECHNOLOGY SOLUTIONS, INC",18
"ETEK IT SERVICES, INC.",18
DEEBECON INC,18
NORTHERN ILLINOIS UNIVERSITY,18
"HUMETIS TECHNOLOGIES, INC.",18
UNITED SOFTWARE INC,18
"MOLEX, LLC",18
OSF SAINT FRANCIS MEDICAL CENTER,18
MOUNT SINAI HOSPITAL MEDICAL CENTER OF CHICAGO,18
PALNI INC,18
"LERA TECHNOLOGIES, LLC",18
"CIBER, INC.",17
"TRI VENTURES, INC. D/B/A AQUENT LLC",17
THE UNIVERSITY OF CHICAGO BOOTH SCHOOL OF BUSINESS,17
ADVENT GLOBAL SOLUTIONS INC.,17
GOOGLE INC.,17
U.S.CELLULAR CORPORATION,17
SAVVY INFO SYSTEMS INC,17
"SVANACO, INC.",17
CNH INDUSTRIAL AMERICA LLC,17
"MEDLINE INDUSTRIES, INC.",17
LOYOLA UNIVERSITY CHICAGO,17
"INVENTIONS,INC",17
NEXT GENERATION TECHNOLOGY INC.,17
"CYBERBRIDGE INTERNATIONAL, INC.",17
SSB SYSTEMS INC,17
GRANT THORNTON LLP,16
IMANAGE LLC,16
"CES GLOBAL, LLC",16
SONICSOFT INC,16
THE METHODIST MEDICAL CENTER OF ILLINOIS,16
"DYNAMIC ENTERPRISE SOLUTIONS, INC.",16
"W. W. GRAINGER, INC.",16
"CISCO SYSTEMS, INC.",16
L AND T TECHNOLOGY SERVICES LIMITED,16
"WOLFRAM RESEARCH, INC",16
"QUADRATIC SYSTEMS, INC.",16
CYMA SYSTEMS INC,16
"PERSISTENT SYSTEMS, INC.",16
"FIRST TEK , INC.",16
"ACCUITY, INC.",15
HYATT CORPORATION,15
"KMS DEVELOPMENT, INC.",15
"MARLABS, INC.",15
CLINRON LLC,15
SARAM SOLUTIONS INC,15
VCARVE INC,15
EDVENSOFT SOLUTIONS LLC,15
"EPITEC, INC.",15
CYBERTHINK INC,15
DELOITTE SERVICES LP,15
E-NEXUS INC,15
KCURA LLC,15
"CAPGEMINI AMERICA, INC.",15
SCIENTIFIC GAMES CORPORATION,15
"PALNI, INC.",15
"BAIN AND COMPANY, INC.",15
"ERP ANALYSTS, INC.",15
"E.C. ORTIZ & CO., LLP",15
NUMERIC TECHNOLOGIES INC,14
"AKORN, INC.",14
"INTERSOFT DATA LABS, INC.",14
"ORPINE, INC.",14
MERIDIAN TECHNOLOGY SOLUTIONS INC,14
DIGITALLOCEAN CORPORATION,14
METMOX INC,14
"SOGETI USA, LLC",14
"RAILCAR MANAGEMENT, LLC",14
SOFAST,14
LOGIC PLANET INC,14
"CAPGEMINI AMERICA, INC. (LEGACY CAPGEMINI FINANCIAL SERVICES, INC.)",14
NATSOFT CORPORATION,14
"CAPITAL ONE SERVICES, LLC",14
"NETRA TECHNOLOGIES, INC.",14
DATAMIND INC.,14
STERLING SOFTWARE INC.,14
"FRESENIUS KABI USA, LLC",14
"NEXTROW, INC.",14
CONTINENTAL CASUALTY COMPANY,14
"KNOWLES ELECTRONICS, LLC",14
SPRING SUN LLC,13
SAVEN TECHNOLOGIES INCORPORATED,13
"CHARTER GLOBAL, INC.",13
"MILLIMAN, INC.",13
EGENCIA LLC,13
"CARESOFT GLOBAL, INC.",13
"PERFICIENT, INC.",13
DEPAUL UNIVERSITY,13
"VALUELABS, INC.",13
"US FOODS, INC.",13
"VNC COMMUNICATIONS, INC. D/B/A PERFORMICS",13
CITIUSTECH INC,13
"IDA SOLUTIONS, INC",13
"APLOMB TECHNOLOGIES, INC.",13
L&T TECHNOLOGY SERVICES LLC,13
"SYNECHRON, INC.",13
LEX NIMBLE SOLUTIONS INC,13
"PLS FINANCIAL SERVICES, INC.",13
"LANCESOFT, INC.",13
HORIZON TECHNOLOGIES INC,13
LEO PROJECTS CORPORATION,13
TEK ANALYTICS LLC,13
"INTERNATIONAL SOLUTIONS GROUP, INC.",13
"ILOGIC, INC",13
ILOGIC INC,13
"INSURANCE AUTO AUCTIONS, INC.",13
"BELL INFO SOLUTIONS,LLC",13
SPRINGFIELD CLINIC,13
SRK SYSTEMS INC.,13
AARDVARK TRADING LLC,13
DFS SERVICES LLC,13
ENABLON NORTH AMERICA CORPORATION,13
"ADS ALLIANCE DATA SYSTEMS, INC.",13
"GEOMETRIC AMERICAS, INC",13
"CDH, P.C.",13
SYSWISE LLC,12
UL LLC,12
ASTIR IT SOLUTIONS INC.,12
INTELLECTBRAINS INC.,12
"D&D INTERNETWORKING, INC.",12
CDW LLC,12
CARS.COM,12
"CANDOR GROUP, INC.",12
APLOMB TECHNOLOGIES INC,12
"THE SMART CUBE, INC.",12
"CYBERBRIDGE INTERNATIONAL, INC",12
"3I INFOTECH, INC.",12
INFORMATICA LLC,12
SR TECH SOLUTIONS INC,12
"AXIS, INC",12
"APTUDE, INC.",12
UOP LLC,12
"GOOYAH TECHNOLOGIES, INC.",12
"YAHOO, INC.",12
"SMS ASSIST, L.L.C.",12
CAPGEMINI U.S. LLC,12
AGEATIA TECHNOLOGY CONSULTANCY SERVICES INC,12
"LOYOLA UNIVERSITY CHICAGO, HEALTH SCIENCES DIV",12
VALIDATION ASSOCIATES LLC,12
"STRATA DECISION TECHNOLOGY, LLC",12
"AMDOCS, INC.",12
CQUENT SYSTEMS INC,12
"VISIONET SYSTEMS, INC.",12
ZURICH AMERICAN INSURANCE COMPANY,11
"SAGGEZZA, INC.",11
REDMANE TECHNOLOGY LLC,11
SBASE TECHNOLOGIES INC,11
TEKINVADERZ LLC,11
IMETRIS CORPORATION,11
CGI TECHNOLOGIES AND SOLUTIONS INC.,11
CORPORATE COMPUTER SERVICES INC,11
"EXPERIS US, INC.",11
UST GLOBAL INC.,11
INTEL CORPORATION,11
"PROFICIENT BUSINESS SYSTEMS, INC.",11
CDI CORPORATION,11
R.R. DONNELLEY AND SONS COMPANY,11
FIRST TEK DOS LLC,11
"YASKAWA AMERICA, INC.",11
"LIBSYS, INC.",11
"ASTA CRS, INC.",11
EPCOT TECHNOLOGIES INC.,11
"STRATEGIC RESOURCES INTERNATIONAL, INC.",11
NORC,11
"VALUEMOMENTUM, INC.",11
GREENLEE TEXTRON INC.,11
CLINRON,11
"ITRACE FOUNDATION, INC.",11
"IDEALOGIX, LLC",11
"CHICAGO INTERNAL MEDICINE PRACTICE AND RESEARCH, S",11
"NESS USA, INC.",11
"REHABCARE GROUP EAST, INC.",11
"COMSCORE, INC.",11
AUREUS TECHSYSTEMS LLC,11
CONCERT TECH CORPORATION,11
RISE INTERACTIVE,10
"TERRA INFORMATION GROUP, INC.",10
ILLINOIS STATE UNIVERSITY,10
"SAP TECHNOLOGY SOLUTIONS, INC.",10
SALESFORCE.COM INC.,10
"FIRST TEK, INC.",10
"TAKEDA PHARMACEUTICALS U.S.A., INC.",10
"KSN TECHNOLOGIES, INC.",10
"ITEANS AMERICA, LLC.",10
"SELECT REHABILITATION, INC.",10
"ADECCO GROUP NA/MODIS, INC.",10
"KPIT INFOSYSTEMS, INC.",10
"ULTA INC, WHOLLY OWNED SUBSIDIARY OF ULTA SALON COSMETICS & FRAGRANCE",10
TEKBON INC,10
"ECLINICALWORKS, LLC",10
"OPTUM SERVICES, INC.",10
"SUPRASOFT, INC.",10
"ENCORE CONSULTING SERVICES, INC.",10
"CORNERSTONE RESEARCH, INC.",10
SCEPTER TECHNOLOGIES INC,10
JOHN H. STROGER HOSPITAL OF COOK COUNTY/COOK COUNTY,10
"HI-TECH SOLUTIONS, INC.",10
"BDO USA, LLP",10
SYNCHRONY BANK,10
WISE EQUATION SOLUTIONS INC.,10
"KAVI ASSOCIATES, LLC",10
DECATUR MEMORIAL HOSPITAL,10
"GDN INFOTECH, INC.",10
EXP U.S. SERVICES INC.,10
CYBER WORLD TECHNOLOGIES INC.,10
JNIT TECHNOLOGIES,10
"HSHS MEDICAL GROUP, INC.",10
ECS FINANCIAL SERVICES,10
MICROSOFT CORPORATION,10
ZIFO TECHNOLOGIES INC.,10
CROSSCOUNTRY CONSULTING LLC,10
"GEOMETRIC AMERICAS, INC.",10
ADVANCED CAD/CAM SERVICE,10
"COMPUTER ENTERPRISES, INC.",10
GENPACT LLC,10
"INFOSHARE SYSTEMS, INC.",10
"CONTINENTAL AUTOMOTIVE SYSTEMS, INC.",10
UNIVERSITY OF ILLINOIS AT SPRINGFIELD,9
"RSM TECHNOLOGY SOLUTIONS, INC.",9
JAMES HARDIE BUILDING PRODUCTS INC.,9
"PHYSICIAN SERVICES CORPORATION OF SOUTHERN ILLINOIS, INC.",9
PHILIPS LIGHTING NORTH AMERICA CORPORATION,9
"KALVEN TECHNOLOGIES, INC.",9
CAVALIER IT INC.,9
CAPGEMINI FINANCIAL SERVICES USA INC.,9
TECH MATRIX INC,9
"NAVIGANT CONSULTING, INC.",9
HEALTH CARE SERVICE CORPORATION,9
"NCS PEARSON, INC.",9
"GUNJAN CUTTING EDGE SOLUTIONS, INC.",9
"LITTELFUSE, INC.",9
DIASPARK INC,9
"TCG DIGITAL SOFTWARE, LLC",9
GOOD SAMARITAN REGIONAL HEALTH CENTER,9
CIRRUS HOLDINGS USA LLC,9
SIRI INFOSOLUTIONS INC.,9
"UPTAKE TECHNOLOGIES, INC",9
SCHRILL TECHNOLOGIES INC.,9
BRUNSWICK CORPORATION,9
JVR TECH LLC,9
W W GRAINGER INC,9
TRADELINK LLC,9
PROMATRIX CORP,9
"EUROMARKET DESIGNS, INC. (D/B/A CRATE & BARREL AND CB2)",9
IT HIPPIES LLC,9
"COMTEK INTERNATIONAL, INC.",9
"ENTERPRISE SOLUTIONS, INC.",9
"TALENTED IT, INC.",9
SYSTEL INC OF DELAWARE,9
THE LAW OFFICE OF MERCER TURNER,9
TRIBUNE PUBLISHING COMPANY,9
"ADECCO USA, INC.",9
"NITOR INFOTECH, INC.",9
IT AMERICA INC,9
"GSS INFOTECH CT, INC.",9
"SYSINTELLI, INC",9
VALIDATION TECHNOLOGY SERVICES INC.,9
"INNOVATIVE SYSTEMS GROUP, INC.",9
"LEO BURNETT COMPANY, INC.",9
CABOT MICROELECTRONICS CORPORATION,9
"AMAZON.COM.DEDC, LLC",9
VALTECH SOLUTIONS INC.,9
"PEPSICO, INC.",9
TURN INC.,9
"LANGUAGE STARS, LLC.",9
PRAGMASYS CONSULTING LLC,9
LARSEN AND TOUBRO INFOTECH LIMITED,9
RAISE MARKETPLACE INC.,9
ASCENT INNOVATIONS LLC,9
"THE PAMPERED CHEF, LTD.",9
LANZATECH,8
"REVERE INFO TECH, INC",8
"AIM BIG, INC. DBA AXIOM TECHNOLOGY GROUP, INC.",8
SPRINT CORPORATION,8
"JONES LANG LASALLE AMERICAS, INC.",8
GENERAL ELECTRIC COMPANY,8
"AMZUR TECHNOLOGIES, INC",8
SOUTHERN ILLINOIS UNIVERSITY EDWARDSVILLE,8
KIP INFORMATION TECHNOLOGIES INC,8
"THE HACKETT GROUP, INC.",8
ICE CLEAR CREDIT LLC,8
JIM BEAM BRANDS COMPANY,8
BMW TECHNOLOGY CORPORATION,8
MCGAW MEDICAL CENTER OF NWU,8
"GDB INTERNATIONAL, INC.",8
WOODSTOCK COMMUNITY UNIT SCHOOL DISTRICT 200,8
"SONATA SOFTWARE NORTH AMERICA, INC.",8
SOLSTICE CONSULTING LLC,8
"CITICORP CREDIT SERVICES, INC. (USA)",8
9TO9 SOFTWARE SOLUTIONS LLC,8
ALLSTATE INSURANCE COMPANY,8
STANDAV CORP.,8
ILLINOIS TOOL WORKS INC.,8
RADISS TECH SERVICES INC.,8
"COMPUTER AID, INC.",8
"HEARTLAND EMPLOYMENT SERVICES, LLC",8
"L&T TECHNOLOGY SERVICES, LTD.",8
R. R. DONNELLEY & SONS COMPANY,8
"BALLY GAMING, INC.",8
WEB WISOR INC,8
"THOUGHTWAVE SOFTWARE AND SOLUTIONS, INC.",8
"FUSION PLUS SOLUTIONS, INC",8
"TIBCO SOFTWARE, INC.",8
"NETPRO LOGIC, INC.",8
NETRA TECHNOLOGIES,8
"SAGARSOFT, INC",8
"GRUBHUB HOLDINGS, INC.",8
"NEW YORK TECHNOLOGY PARTNERS, INC.",8
NIC INFO TEK INC,8
"INNOVATIVE CONSULTING SOLUTIONS, LLC",8
"ENVESTNET ASSET MANAGEMENT, INC.",8
NOKIA SOLUTIONS AND NETWORKS US LLC,8
NORTHWESTERN MEMORIAL HEALTHCARE,8
TAAL TECHNOLOGIES INC.,8
SIEMENS PLM SOFTWARE INC.,8
"SIEMENS MEDICAL SOLUTIONS USA, INC.",8
"AURORA SOLUTIONS, INC.",8
SAPPHIRE IT SERVICES INC,8
ERNST &YOUNG U.S. LLP,8
"TRUSTWAVE HOLDINGS, INC.",8
ESSANI INTERNATIONAL LLC,8
"MEDPRO HEALTH PROVIDERS, LLC",8
PR3 SYSTEMS INC.,8
T & J FOODS LLC,8
SHIGURA INCORPORATED,8
FAMILA DENTAL CHAMPAIGN LLC,8
"FACTSET RESEARCH SYSTEMS, INC.",8
"UPTAKE TECHNOLOGIES, INC.",8
FAMILIA DEVELOPMENT LLC,8
PANDUIT CORPORATION,8
"VALKYRIE TRADING, LLC",8
PACE COMPUTER SOLUTIONS INC,8
ORION SYSTEMS INTEGRATORS LLC,8
CENTRAPRISE CORP,8
"BLACKWELL GLOBAL CONSULTING, LLC",8
CONNVERTEX TECHNOLOGIES INC.,8
REVEREIT LLC,8
"MERIDIAN STAFFING SERVICES, INC.",8
SPHERE CONSULTING INC.,8
"IMC AMERICAS, INC.",7
"SUPERNOVA LENDING, LLC",7
SENECA NURSING HOME,7
SENRYO TECHNOLOGIES,7
HAMILTON MEMORIAL HOSPITAL DISTRICT,7
"KBACE TECHNOLOGIES, INC.",7
KATHERINE SHAW BETHEA HOSPITAL,7
HARWARD TECHNOLOGIES LLC,7
SIMNA SOLUTIONS LLC,7
"STERLITE SOFTWARE USA, INC",7
STEPAN COMPANY,7
STELLENT SOLUTIONS INC,7
"SMART SOLUTIONS, INC",7
"STARCOM WORLDWIDE, INC.",7
"SOFBANG, LLC",7
SOUTHERN ILLINOIS UNIVERSITY CARBONDALE,7
SPRI PARTNERS LLC,7
"HIMA, INC",7
"SPERIDIAN TECHNOLOGIES, LLC",7
DIGITAL MINDS TECHNOLOGIES INC,7
"EBUSINESS SOLUTIONS, INC.",7
"XTGLOBAL, INC.",7
EGEN SOLUTIONS INC.,7
"DANFOSS POWER ELECTRONICS, A DIVISION OF DANFOSS LLC",7
WSP USA CORP,7
DENTAL EXPERTS LLC,7
"ELECTRO-MOTIVE DIESEL, INC.",7
"D2 DENTAL OF ILLINOIS, P.C.",7
"MORTON GROVE PHARMACEUTICALS, INC",7
ADVOCATE HEALTH AND HOSPITALS CORPORATION,7
"AMERICAN UNIT, INC",7
MULTIVISION INC.,7
"WILLIAM BLAIR & COMPANY, LLC",7
"LOGIC PLANET, INC.",7
BELCAN SERVICES GROUP LTD PARTNERSHIP I,7
"IT TRAILBLAZERS, LLC",7
ENNVEE TECHNOGROUP,7
NEUMERIC TECHNOLOGIES CORPORATION,7
IT RESONANCE INC.,7
"ACLAT, INC.",7
"NGPI AMERICAS, LLC",7
"IT DIVISION, INC.",7
IPOLARITY LLC,7
"ESPRYT, INC.",7
"CTC TRADING GROUP, LLC",7
